Number,Speaker,WordCount,Positive,Negative,LanPos,LanNeg,PortPos,PortNeg,SnowPos,SnowNeg
1,lehrer,166,14,3,40,28,28,11,28,12
2,obama,195,17,8,49,25,34,15,35,15
3,lehrer,4,0,0,0,0,0,0,0,0
4,romney,209,25,9,52,31,34,17,34,17
5,lehrer,12,1,1,3,1,2,1,2,1
6,obama,218,15,7,47,32,32,15,33,16
7,lehrer,23,1,0,3,3,2,2,2,2
8,romney,321,20,12,76,50,40,32,43,33
9,obama,110,9,6,28,22,16,15,16,16
10,lehrer,1,1,0,1,0,1,0,1,0
11,obama,82,8,2,23,10,15,6,15,6
12,lehrer,7,2,0,2,1,2,1,2,1
13,romney,9,2,1,2,2,2,2,2,2
14,lehrer,1,1,0,1,0,1,0,1,0
15,romney,192,16,3,49,41,23,18,23,18
16,lehrer,8,1,1,1,1,1,1,1,1
17,obama,211,14,4,46,36,32,27,32,27
18,lehrer,1,1,0,1,0,1,0,1,0
19,romney,6,1,0,2,1,2,0,2,0
20,lehrer,3,2,0,2,0,2,0,2,0
21,romney,3,0,0,0,1,0,1,0,1
22,lehrer,9,1,2,4,2,4,2,4,2
23,romney,2,1,0,1,0,1,0,1,0
24,lehrer,24,2,3,5,5,4,4,4,4
25,romney,155,11,0,30,41,15,24,15,26
26,obama,148,16,5,44,22,22,14,22,14
27,romney,8,0,0,1,1,0,0,0,0
28,lehrer,8,1,0,1,0,1,0,1,0
29,romney,135,6,1,26,16,9,6,9,6
30,lehrer,36,1,1,4,4,1,3,1,3
31,romney,125,13,2,37,20,23,13,22,13
32,obama,1,0,0,1,0,1,0,1,0
33,romney,108,7,4,17,14,12,5,12,5
34,lehrer,4,0,0,0,0,0,0,0,0
35,obama,232,11,6,55,24,24,16,25,16
36,lehrer,4,0,1,0,2,0,1,0,1
37,obama,5,1,0,3,0,2,0,2,0
38,lehrer,3,0,0,0,0,0,0,0,0
39,obama,1,0,1,0,1,0,1,0,1
40,lehrer,6,1,0,1,0,1,0,1,0
41,romney,4,0,0,0,0,0,0,0,0
42,lehrer,4,1,1,2,1,1,1,1,1
43,romney,13,0,1,0,1,0,1,0,1
44,obama,13,1,0,1,1,1,0,1,0
45,romney,5,0,0,0,0,0,0,0,0
46,lehrer,4,0,0,1,1,1,1,1,1
47,romney,1,0,0,0,0,0,0,0,0
48,lehrer,2,0,0,0,0,0,0,0,0
49,obama,3,1,0,1,0,1,0,1,0
50,lehrer,7,0,0,2,0,0,0,1,0
51,obama,11,0,0,1,0,0,0,0,0
52,romney,61,0,1,10,4,3,3,3,3
53,lehrer,12,1,0,2,0,1,0,2,0
54,obama,278,23,7,62,28,42,19,42,19
55,romney,12,0,0,1,0,0,0,0,0
56,lehrer,2,0,0,1,1,1,0,1,0
57,romney,31,0,0,2,5,0,3,0,3
58,obama,2,0,0,2,0,1,0,1,0
59,romney,113,9,2,21,11,14,8,14,8
60,lehrer,1,0,0,0,0,0,0,0,0
61,romney,114,9,4,32,17,25,5,25,5
62,lehrer,2,0,0,0,0,0,0,0,0
63,romney,10,3,0,5,2,4,0,4,0
64,lehrer,6,0,0,1,1,0,0,0,0
65,obama,1,0,0,0,0,0,0,0,0
66,lehrer,20,3,0,4,0,3,0,3,0
67,obama,197,30,4,54,25,43,11,44,14
68,lehrer,10,2,0,2,0,2,0,2,0
69,romney,216,16,7,41,20,28,11,28,12
70,lehrer,2,0,0,0,0,0,0,0,0
71,obama,26,5,0,9,3,6,1,6,1
72,lehrer,2,1,0,1,0,1,0,1,0
73,obama,3,0,0,0,0,0,0,0,0
74,romney,2,0,0,0,0,0,0,0,0
75,obama,1,0,0,1,0,1,0,1,0
76,romney,4,1,0,1,0,1,0,1,0
77,obama,173,22,5,44,23,37,11,37,12
78,lehrer,10,2,0,5,0,5,0,5,0
79,romney,13,1,0,2,0,2,0,2,0
80,lehrer,1,0,0,0,0,0,0,0,0
81,romney,172,15,4,29,19,25,6,25,8
82,obama,87,12,2,19,15,18,3,17,6
83,lehrer,1,0,0,0,0,0,0,0,0
84,obama,0,0,0,0,0,0,0,0,0
85,romney,8,0,0,1,0,0,0,0,0
86,obama,2,0,0,1,0,0,0,0,0
87,lehrer,5,0,0,0,0,0,0,0,0
88,obama,2,0,1,0,2,0,1,0,1
89,lehrer,3,0,0,0,0,0,0,0,0
90,romney,4,0,0,0,0,0,0,0,0
91,lehrer,2,0,0,1,0,0,0,0,0
92,romney,14,1,0,2,2,2,0,2,1
93,lehrer,1,1,0,1,0,1,0,1,0
94,romney,9,1,0,2,2,2,0,2,0
95,lehrer,3,0,0,0,0,0,0,0,0
96,romney,11,2,0,6,2,4,0,4,1
97,lehrer,10,1,0,3,0,1,0,2,0
98,romney,1,0,0,0,0,0,0,0,0
99,lehrer,1,0,0,0,0,0,0,0,0
100,romney,1,0,0,0,0,0,0,0,0
101,obama,1,0,0,0,0,0,0,0,0
102,lehrer,30,3,0,8,0,5,0,5,0
103,romney,35,4,3,18,6,6,4,6,4
104,lehrer,3,0,1,2,1,0,1,0,1
105,romney,3,0,0,0,0,0,0,0,0
106,lehrer,1,0,0,1,0,1,0,1,0
107,romney,72,4,5,17,14,7,9,7,9
108,lehrer,4,1,0,2,1,1,0,1,0
109,romney,19,4,2,7,5,4,3,4,3
110,lehrer,3,1,0,2,0,1,0,1,0
111,romney,8,0,0,2,1,0,0,0,0
112,lehrer,13,2,0,5,1,2,0,2,0
113,obama,164,16,9,40,19,29,10,30,10
114,romney,135,18,9,38,24,24,13,26,14
115,lehrer,37,3,0,15,1,8,1,10,1
116,romney,192,13,6,37,41,30,12,30,18
